AABA,Altaba Inc.,74.37,$42.2B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,
AAL,"American Airlines Group, Inc.",33.75,$15.16B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal,
AAME,Atlantic American Corporation,2.31,$46.56M,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame,
AAOI,"Applied Optoelectronics, Inc.",12.36,$245.75M,2013,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi,
AAON,"AAON, Inc.",47.6,$2.48B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
AAPL,Apple Inc.,199.23,$939.43B,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl,
AAWW,Atlas Air Worldwide Holdings,49.73,$1.28B,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/aaww,
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,72.6,$4.54B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aaxj,
AAXN,"Axon Enterprise, Inc.",60.75,$3.59B,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aaxn,
ABCB,Ameris Bancorp,35.16,$1.67B,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb,
ABDC,Alcentra Capital Corp.,7.99,$102.88M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc,
ABEO,Abeona Therapeutics Inc.,7.68,$368.25M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,3.07,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,1.75,$6.41M,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,
ABIO,"ARCA biopharma, Inc.",5.73,$6.3M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio,
ABMD,"ABIOMED, Inc.",272.3,$12.28B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
ABTX,"Allegiance Bancshares, Inc.",36.53,$791.68M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,
ABUS,Arbutus Biopharma Corporation,3.72,$213.1M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abus,
ACAD,ACADIA Pharmaceuticals Inc.,25.51,$3.67B,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,
ACAM,Acamar Partners Acquisition Corp.,n/a,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam,
ACAMU,Acamar Partners Acquisition Corp.,10,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,
ACAMW,Acamar Partners Acquisition Corp.,1,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,
ACBI,"Atlantic Capital Bancshares, Inc.",18,$445.31M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acbi,
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/accp,
