A,"Agilent Technologies, Inc.",80.4,$25.53B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a,
AA,Alcoa Corporation,27.74,$5.15B,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa,
AAC,"AAC Holdings, Inc.",2.14,$52.65M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,
AAN,"Aaron&#39;s,  Inc.",52.86,$3.58B,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,
AAP,Advance Auto Parts Inc,181.43,$13B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap,
AAT,"American Assets Trust, Inc.",45.82,$2.17B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat,
AB,AllianceBernstein Holding L.P.,29.39,$2.84B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab,
ABB,ABB Ltd,19.8,$42.21B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb,
ABBV,AbbVie Inc.,81.03,$119.78B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,
ABC,AmerisourceBergen Corporation (Holding Co),76.11,$16.07B,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc,
ABEV,Ambev S.A.,4.48,$70.45B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev,
ABG,Asbury Automotive Group Inc,75.39,$1.47B,2002,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/abg,
ABM,ABM Industries Incorporated,37.49,$2.48B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,
ABR,Arbor Realty Trust,13.65,$1.17B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr,
ABR^A,Arbor Realty Trust,25.81,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^a,
ABR^B,Arbor Realty Trust,25.53,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^b,
ABR^C,Arbor Realty Trust,26.2652,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^c,
ABT,Abbott Laboratories,77.5,$136.13B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,
AC,"Associated Capital Group, Inc.",39.33,$888.27M,2015,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ac,
ACA,"Arcosa, Inc.",30.71,$1.49B,2018,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aca,
ACB,Aurora Cannabis Inc.,8.51,$8.62B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/acb,
ACC,American Campus Communities Inc,48.08,$6.6B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc,
ACCO,Acco Brands Corporation,8.7,$892.8M,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco,
ACH,Aluminum Corporation of China Limited,10.59,$7.21B,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach,
ACM,AECOM,32.14,$5.02B,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm,
ACN,Accenture plc,179.3,$120.22B,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn,
ACP,Aberdeen Income Credit Strategies Fund,12.58,$164.47M,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp,
ACRE,Ares Commercial Real Estate Corporation,15.42,$443.41M,2012,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acre,
ACV,AllianzGI Diversified Income & Convertible Fund,22.78,$234.89M,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv,
ADC,Agree Realty Corporation,68.34,$2.57B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc,
ADM,Archer-Daniels-Midland Company,43.34,$24.27B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/adm,
