證券名單,,,,,,,,,,,,,,,,,,,,
截 至 22/08/2018,,,,,,,,,,,,,,,,,,,,
股份代號,股份名稱,分類,次分類,買賣單位,票面值,國際證券號碼 (ISIN),到期日,須繳納印花稅,可進行賣空的指定證券,收市競價證券,市調機制證券,已納入股票期權,已納入股票期貨,已納入中央結算系統,ETF / 基金經理人,債券買賣單位面值,債券投資者類別,,,
00001,長和,股本,股本證券(主板),500,HKD 1.0000,KYG217651051,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00002,中電控股,股本,股本證券(主板),500,,HK0002007356,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00003,香港中華煤氣,股本,股本證券(主板),"1,000",,HK0003000038,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00004,九龍倉集團,股本,股本證券(主板),"1,000",,HK0004000045,,Y,Y,Y,,Y,Y,Y,,,,,,
00005,匯豐控股,股本,股本證券(主板),400,USD 0.5000,GB0005405286,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00006,電能實業,股本,股本證券(主板),500,,HK0006000050,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00007,香港金融集團,股本,股本證券(主板),"2,000",HKD 0.1000,,,Y,,,,,,Y,,,,,,
00008,電訊盈科,股本,股本證券(主板),"1,000",,HK0008011667,,Y,Y,Y,,,,Y,,,,,,
00009,九號運通,股本,股本證券(主板),"6,000",HKD 0.0100,BMG6547Y1057,,Y,,,,,,Y,,,,,,
00010,恒隆集團,股本,股本證券(主板),"1,000",,HK0010000088,,Y,Y,Y,,,,Y,,,,,,
00011,恒生銀行,股本,股本證券(主板),100,,HK0011000095,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00012,恒基地產,股本,股本證券(主板),"1,000",,HK0012000102,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00014,希慎興業,股本,股本證券(主板),"1,000",,HK0014000126,,Y,Y,Y,,,,Y,,,,,,
00015,盈信控股,股本,股本證券(主板),"2,000",HKD 0.0250,BMG932121434,,Y,,,,,,Y,,,,,,
00016,新鴻基地產,股本,股本證券(主板),500,,HK0016000132,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00017,新世界發展,股本,股本證券(主板),"1,000",,HK0017000149,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00018,東方報業集團,股本,股本證券(主板),"2,000",,HK0018000155,,Y,,,,,,Y,,,,,,
00019,太古股份公司Ａ,股本,股本證券(主板),500,,HK0019000162,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00020,會德豐,股本,股本證券(主板),"1,000",,HK0020000177,,Y,Y,Y,,,,Y,,,,,,
00021,大中華地產控股,股本,股本證券(主板),"5,000",,HK0000132420,,Y,,,,,,Y,,,,,,
00022,茂盛控股,股本,股本證券(主板),"40,000",HKD 0.0200,BMG6051D1175,,Y,,,,,,Y,,,,,,
00023,東亞銀行,股本,股本證券(主板),200,,HK0023000190,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00024,寶威控股,股本,股本證券(主板),"2,000",HKD 0.1000,BMG1808K1009,,Y,,,,,,Y,,,,,,
00025,CHEVALIER INT'L,股本,股本證券(主板),"2,000",HKD 1.2500,BMG2097Z1471,,Y,Y,,,,,Y,,,,,,
00026,中華汽車,股本,股本證券(主板),200,,HK0026000205,,Y,Y,,,,,Y,,,,,,
00027,銀河娛樂,股本,股本證券(主板),"1,000",,HK0027032686,,Y,Y,Y,Y,Y,Y,Y,,,,,,
00028,天安,股本,股本證券(主板),"1,000",,HK0028013271,,Y,Y,,,,,Y,,,,,,
00029,達力集團,股本,股本證券(主板),"2,000",HKD 1.0000,BMG2889K1678,,Y,,,,,,Y,,,,,,
00030,萬隆控股集團,股本,股本證券(主板),"2,000",HKD 0.0100,BMG0865U1009,,Y,,,,,,Y,,,,,,
00031,航天控股,股本,股本證券(主板),"2,000",,HK0031044180,,Y,Y,,,,,Y,,,,,,
00032,港通控股,股本,股本證券(主板),"1,000",,HK0032009356,,Y,Y,,,,,Y,,,,,,
00033,亞投金融集團,股本,股本證券(主板),"2,000",HKD 0.1000,KYG0541D1007,,Y,,,,,,Y,,,,,,
00034,九龍建業,股本,股本證券(主板),"1,000",,HK0034000254,,Y,Y,,,,,Y,,,,,,
00035,遠東發展,股本,股本證券(主板),"1,000",HKD 0.1000,KYG3307Z1090,,Y,Y,Y,,,,Y,,,,,,
00036,遠東控股國際,股本,股本證券(主板),"3,000",,HK0036029863,,Y,,,,,,Y,,,,,,
00037,遠東酒店實業,股本,股本證券(主板),"2,000",,HK0037039283,,Y,,,,,,Y,,,,,,
00038,第一拖拉機股份,股本,股本證券(主板),"2,000",RMB 1.0000,CNE100000320,,Y,,Y,,,,Y,,,,,,
00039,中國北大荒,股本,股本證券(主板),"8,000",HKD 0.1000,KYG2117W1087,,Y,,,,,,Y,,,,,,
00040,金山工業,股本,股本證券(主板),"1,000",,HK0040000298,,Y,,,,,,Y,,,,,,
00041,鷹君,股本,股本證券(主板),"1,000",HKD 0.5000,BMG4069C1486,,Y,Y,,,,,Y,,,,,,
00042,東北電氣,股本,股本證券(主板),"2,000",RMB 1.0000,CNE1000003V0,,Y,,Y,,,,Y,,,,,,
00043,卜蜂國際,股本,股本證券(主板),"2,000",USD 0.0100,BMG715071343,,Y,Y,Y,,,,Y,,,,,,
00044,香港飛機工程,股本,股本證券(主板),400,,HK0044000302,,Y,Y,,,,,Y,,,,,,
00045,大酒店,股本,股本證券(主板),500,,HK0045000319,,Y,Y,Y,,,,Y,,,,,,
00046,科聯系統,股本,股本證券(主板),"2,000",HKD 0.1000,BMG2335C1082,,Y,,,,,,Y,,,,,,
00047,合興集團,股本,股本證券(主板),"4,000",HKD 0.1000,KYG463AM1037,,Y,,,,,,Y,,,,,,
00048,中國汽車內飾,股本,股本證券(主板),"10,000",HKD 0.1000,KYG211351195,,Y,,,,,,Y,,,,,,
00050,香港小輪（集團）,股本,股本證券(主板),"1,000",,HK0050000345,,Y,Y,,,,,Y,,,,,,
00051,海港企業,股本,股本證券(主板),"1,000",,HK0051000351,,Y,Y,,,,,Y,,,,,,
00052,FAIRWOOD HOLD,股本,股本證券(主板),500,HKD 1.0000,BMG3305Y1619,,Y,Y,Y,,,,Y,,,,,,
00053,國浩集團,股本,股本證券(主板),"1,000",USD 0.5000,BMG420981224,,Y,Y,,,,,Y,,,,,,
00054,合和實業,股本,股本證券(主板),500,,HK0000051067,,Y,Y,,,,,Y,,,,,,
00055,中星集團控股,股本,股本證券(主板),"10,000",HKD 0.0100,BMG6433R1319,,Y,,,,,,Y,,,,,,
00056,聯合地產（香港）,股本,股本證券(主板),"2,000",,HK0056039545,,Y,Y,,,,,Y,,,,,,
00057,震雄集團,股本,股本證券(主板),"2,000",HKD 0.1000,BMG208741063,,Y,,,,,,Y,,,,,,
00058,新威國際,股本,股本證券(主板),"20,000",HKD 0.1000,BMG858331124,,Y,,,,,,Y,,,,,,
