公司代码,公司简称,代码,简称,上市日期,
688001,华兴源创,688001,华兴源创,2019-07-22,
688002,睿创微纳,688002,睿创微纳,2019-07-22,
688003,天准科技,688003,天准科技,2019-07-22,
688005,容百科技,688005,容百科技,2019-07-22,
688006,杭可科技,688006,杭可科技,2019-07-22,
688007,光峰科技,688007,光峰科技,2019-07-22,
688008,澜起科技,688008,澜起科技,2019-07-22,
688009,中国通号,688009,中国通号,2019-07-22,
688010,福光股份,688010,福光股份,2019-07-22,
688011,新光光电,688011,新光光电,2019-07-22,
688012,中微公司,688012,中微公司,2019-07-22,
688015,交控科技,688015,交控科技,2019-07-22,
688016,心脉医疗,688016,心脉医疗,2019-07-22,
688018,乐鑫科技,688018,乐鑫科技,2019-07-22,
688019,安集科技,688019,安集科技,2019-07-22,
688020,方邦股份,688020,方邦股份,2019-07-22,
688021,奥福环保,688021,奥福环保,2019-11-06,
688022,瀚川智能,688022,瀚川智能,2019-07-22,
688023,安恒信息,688023,安恒信息,2019-11-05,
688025,杰普特,688025,杰普特,2019-10-31,
688026,洁特生物,688026,洁特生物,2020-01-22,
688028,沃尔德,688028,沃尔德,2019-07-22,
688029,南微医学,688029,南微医学,2019-07-22,
688030,山石网科,688030,山石网科,2019-09-30,
688033,天宜上佳,688033,天宜上佳,2019-07-22,
688036,传音控股,688036,传音控股,2019-09-30,
688037,芯源微,688037,芯源微,2019-12-16,
688039,当虹科技,688039,当虹科技,2019-12-11,
688058,宝兰德,688058,宝兰德,2019-11-01,
688066,航天宏图,688066,航天宏图,2019-07-22,
688068,热景生物,688068,热景生物,2019-09-30,
688078,龙软科技,688078,龙软科技,2019-12-30,
688080,映翰通,688080,映翰通,2020-02-12,
688081,兴图新科,688081,兴图新科,2020-01-06,
688086,紫晶存储,688086,紫晶存储,2020-02-26,
688088,虹软科技,688088,虹软科技,2019-07-22,
688089,嘉必优,688089,嘉必优,2019-12-19,
688090,瑞松科技,688090,瑞松科技,2020-02-17,
688098,申联生物,688098,申联生物,2019-10-28,
688099,晶晨股份,688099,晶晨股份,2019-08-08,
688100,威胜信息,688100,威胜信息,2020-01-21,
688101,三达膜,688101,三达膜,2019-11-15,
688108,赛诺医疗,688108,赛诺医疗,2019-10-30,
688111,金山办公,688111,金山办公,2019-11-18,
688116,天奈科技,688116,天奈科技,2019-09-25,
688118,普元信息,688118,普元信息,2019-12-04,
688122,西部超导,688122,西部超导,2019-07-22,
688123,聚辰股份,688123,聚辰股份,2019-12-23,
688128,中国电研,688128,中国电研,2019-11-05,
688138,清溢光电,688138,清溢光电,2019-11-20,
688139,海尔生物,688139,海尔生物,2019-10-25,
688158,优刻得,688158,优刻得,2020-01-20,
688159,有方科技,688159,有方科技,2020-01-23,
688166,博瑞医药,688166,博瑞医药,2019-11-08,
688168,安博通,688168,安博通,2019-09-06,
688169,石头科技,688169,石头科技,2020-02-21,
688177,百奥泰,688177,百奥泰,2020-02-21,
688178,万德斯,688178,万德斯,2020-01-14,
688181,八亿时空,688181,八亿时空,2020-01-06,
688186,广大特材,688186,广大特材,2020-02-11,
688188,柏楚电子,688188,柏楚电子,2019-08-08,
688196,卓越新能,688196,卓越新能,2019-11-21,
688198,佰仁医疗,688198,佰仁医疗,2019-12-09,
688199,久日新材,688199,久日新材,2019-11-05,
688200,华峰测控,688200,华峰测控,2020-02-18,
688202,美迪西,688202,美迪西,2019-11-05,
688208,道通科技,688208,道通科技,2020-02-13,
688218,江苏北人,688218,江苏北人,2019-12-11,
688233,神工股份,688233,神工股份,2020-02-21,
688258,卓易信息,688258,卓易信息,2019-12-09,
688266,泽?制药,688266,泽?制药,2020-01-23,
688268,华特气体,688268,华特气体,2019-12-26,
688278,特宝生物,688278,特宝生物,2020-01-17,
688288,鸿泉物联,688288,鸿泉物联,2019-11-06,
688298,东方生物,688298,东方生物,2020-02-05,
688299,长阳科技,688299,长阳科技,2019-11-06,
688300,联瑞新材,688300,联瑞新材,2019-11-15,
688310,迈得医疗,688310,迈得医疗,2019-12-03,
688321,微芯生物,688321,微芯生物,2019-08-12,
688333,铂力特,688333,铂力特,2019-07-22,
688357,建龙微纳,688357,建龙微纳,2019-12-04,
688358,祥生医疗,688358,祥生医疗,2019-12-03,
688363,华熙生物,688363,华熙生物,2019-11-06,
688366,昊海生科,688366,昊海生科,2019-10-30,
688368,晶丰明源,688368,晶丰明源,2019-10-14,
688369,致远互联,688369,致远互联,2019-10-31,
688388,嘉元科技,688388,嘉元科技,2019-07-22,
688389,普门科技,688389,普门科技,2019-11-05,
688398,赛特新材,688398,赛特新材,2020-02-11,
688399,硕世生物,688399,硕世生物,2019-12-05,
