公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股简称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
000011,深物业A,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development (Group) Ltd.,广东省深圳市人民南路国贸大厦39、42层,000011,深物业A,1992-03-30,"528,373,849","526,442,569",200011,深物业B,1992-03-30,"67,605,243","67,605,243",华南,广东,深圳市,K 房地产,www.szwuye.com.cn
000012,南  玻Ａ,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,000012,南  玻Ａ,1992-02-28,"1,998,827,103","1,957,059,361",200012,南  玻Ｂ,1992-02-28,"1,109,369,060","1,109,366,032",华南,广东,深圳市,C 制造业,www.csgholding.com
000016,深康佳Ａ,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,000016,深康佳Ａ,1992-03-27,"1,596,593,800","1,596,574,300",200016,深康佳Ｂ,1992-03-27,"811,351,608","811,351,608",华南,广东,深圳市,C 制造业,www.konka.com
000017,深中华A,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) LIMITED,广东省深圳市布心路3008号,000017,深中华A,1992-03-31,"302,984,965","302,981,008",200017,深中华B,1992-03-31,"248,362,982","248,362,982",华南,广东,深圳市,C 制造业,www.cbc.com.cn
000019,深粮控股,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,000019,深粮控股,1992-10-12,"1,100,785,974","416,174,307",200019,深粮B,1992-10-12,"51,749,280","51,749,280",华南,广东,深圳市,F 批发零售,www.slkg1949.com
000020,深华发Ａ,深圳中恒华发股份有限公司,"SHENZHEN ZHONGHENG HUAFA CO., LTD.",广东省深圳市福田区华发北路411幢,000020,深华发Ａ,1992-04-28,"181,165,391","181,165,391",200020,深华发Ｂ,1992-04-28,"101,995,836","101,995,836",华南,广东,深圳市,C 制造业,www.hwafa.com.cn
000025,特  力Ａ,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd",广东省深圳市深南中路中核大厦,000025,特  力Ａ,1993-06-21,"392,778,320","392,778,320",200025,特  力Ｂ,1993-06-21,"38,280,000","38,280,000",华南,广东,深圳市,F 批发零售,www.tellus.cn
000026,飞亚达,飞亚达精密科技股份有限公司,"FIYTA Precision Technology Co., Ltd.",广东省深圳市南山区高新南一道飞亚达科技大厦,000026,飞亚达,1993-06-03,"361,320,881","356,692,290",200026,飞亚达Ｂ,1993-06-03,"81,648,000","81,648,000",华南,广东,深圳市,F 批发零售,www.fiytagroup.com
000028,国药一致,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,广东省深圳市福田区八卦四路15号一致药业大楼,000028,国药一致,1993-08-09,"373,241,383","367,733,625",200028,一致Ｂ,1993-08-09,"54,885,600","54,884,475",华南,广东,深圳市,F 批发零售,www.szaccord.com.cn
000029,深深房Ａ,深圳经济特区房地产(集团)股份有限公司,"ShenZhen Special Economic Zone Real Estate&Properties (Group) Co., Ltd.",广东省深圳市人民南路3005号深房广场47楼,000029,深深房Ａ,1993-09-15,"891,660,000","891,571,000",200029,深深房Ｂ,1994-01-10,"120,000,000","120,000,000",华南,广东,深圳市,K 房地产,www.sfjt.com.cn
